,v,a,z,t,model,ntrials,npp,mean_v,mean_a,mean_z,mean_t,std_v,std_a,std_z,std_t,tau,nreps,full_speed,output_folder
224,0.991,0.997,0.989,0.997,,,,,,,,,,,,,,,
225,0.992,0.998,0.99,0.998,,,,,,,,,,,,,,,
226,0.99,0.997,0.988,0.997,,,,,,,,,,,,,,,
227,0.99,0.998,0.985,0.998,,,,,,,,,,,,,,,
228,0.992,0.997,0.988,0.998,,,,,,,,,,,,,,,
229,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
230,0.991,0.998,0.989,0.996,,,,,,,,,,,,,,,
231,0.988,0.998,0.99,0.996,,,,,,,,,,,,,,,
232,0.991,0.996,0.989,0.998,,,,,,,,,,,,,,,
233,0.99,0.997,0.987,0.997,,,,,,,,,,,,,,,
234,0.992,0.998,0.992,0.998,,,,,,,,,,,,,,,
235,0.987,0.998,0.991,0.998,,,,,,,,,,,,,,,
236,0.988,0.998,0.989,0.998,,,,,,,,,,,,,,,
237,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
238,0.991,0.998,0.989,0.997,,,,,,,,,,,,,,,
239,0.991,0.998,0.99,0.998,,,,,,,,,,,,,,,
240,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
241,0.987,0.998,0.991,0.998,,,,,,,,,,,,,,,
242,0.992,0.998,0.986,0.997,,,,,,,,,,,,,,,
243,0.992,0.997,0.989,0.997,,,,,,,,,,,,,,,
244,0.99,0.998,0.991,0.998,,,,,,,,,,,,,,,
245,0.991,0.998,0.985,0.997,,,,,,,,,,,,,,,
246,0.989,0.997,0.987,0.997,,,,,,,,,,,,,,,
247,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
248,0.992,0.998,0.989,0.997,,,,,,,,,,,,,,,
249,0.99,0.997,0.989,0.997,,,,,,,,,,,,,,,
250,0.992,0.997,0.99,0.997,,,,,,,,,,,,,,,
251,0.989,0.997,0.989,0.997,,,,,,,,,,,,,,,
252,0.991,0.998,0.988,0.998,,,,,,,,,,,,,,,
253,0.99,0.997,0.989,0.997,,,,,,,,,,,,,,,
254,0.992,0.998,0.991,0.997,,,,,,,,,,,,,,,
255,0.988,0.997,0.988,0.998,,,,,,,,,,,,,,,
256,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
257,0.991,0.998,0.988,0.997,,,,,,,,,,,,,,,
258,0.992,0.997,0.99,0.998,,,,,,,,,,,,,,,
259,0.991,0.997,0.991,0.998,,,,,,,,,,,,,,,
260,0.984,0.998,0.988,0.997,,,,,,,,,,,,,,,
261,0.989,0.998,0.991,0.998,,,,,,,,,,,,,,,
262,0.99,0.997,0.988,0.998,,,,,,,,,,,,,,,
263,0.993,0.997,0.992,0.998,,,,,,,,,,,,,,,
264,0.988,0.997,0.99,0.998,,,,,,,,,,,,,,,
265,0.989,0.997,0.988,0.998,,,,,,,,,,,,,,,
266,0.987,0.998,0.991,0.997,,,,,,,,,,,,,,,
267,0.992,0.997,0.986,0.998,,,,,,,,,,,,,,,
268,0.99,0.997,0.989,0.997,,,,,,,,,,,,,,,
269,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
270,0.991,0.998,0.985,0.998,,,,,,,,,,,,,,,
271,0.99,0.997,0.99,0.998,,,,,,,,,,,,,,,
272,0.99,0.998,0.99,0.998,,,,,,,,,,,,,,,
273,0.99,0.997,0.987,0.998,,,,,,,,,,,,,,,
274,0.991,0.998,0.991,0.998,,,,,,,,,,,,,,,
275,0.99,0.997,0.989,0.998,,,,,,,,,,,,,,,
